detectTime,keypoints,keypointsDist,computeTime,matched
0.00184853,2711,"{7:2711}",0.154717,813
0.00171648,2662,"{7:2662}",0.144704,833
0.00174237,2608,"{7:2608}",0.142048,846
0.00152348,2606,"{7:2606}",0.142477,813
0.00153946,2588,"{7:2588}",0.143622,790
0.00168486,2624,"{7:2624}",0.143913,809
0.00166735,2612,"{7:2612}",0.139369,816
0.00176638,2611,"{7:2611}",0.140639,807
0.00165626,2665,"{7:2665}",0.139542,825
0.00160748,2672,"{7:2672}",0.139895,0
