detectTime,keypoints,keypointsDist,computeTime,matched
0.00192297,2711,"{7:2711}",0.00920009,1365
0.00161506,2662,"{7:2662}",0.00842679,1360
0.00147852,2608,"{7:2608}",0.00861456,1406
0.00168,2606,"{7:2606}",0.00948936,1379
0.00168459,2588,"{7:2588}",0.00824528,1346
0.00156868,2624,"{7:2624}",0.00885696,1353
0.00146458,2612,"{7:2612}",0.00654736,1363
0.0018883,2611,"{7:2611}",0.00741197,1367
0.0016913,2665,"{7:2665}",0.00748029,1368
0.00152952,2672,"{7:2672}",0.00758773,0
