detectTime,keypoints,keypointsDist,computeTime,matched
0.0199231,62,"{6:62}",0.0279569,20
0.00964066,54,"{6:54}",0.0193522,22
0.00926371,62,"{6:62}",0.0190104,25
0.00958376,69,"{6:69}",0.0200922,30
0.00949365,88,"{6:88}",0.0198169,40
0.0220588,207,"{6:207}",0.0206585,44
0.00858753,48,"{6:48}",0.0197655,20
0.0105876,113,"{6:113}",0.0206883,46
0.00970789,94,"{6:94}",0.0197744,43
0.0145265,153,"{6:153}",0.0197815,0
